Availability,Category,Footprint (SQ FT),Power (Watts),Product Line,Product Name,SKU,Target Consumer,Footpring (C),Manufacturing Cost,Package Quantity,Suggested Retail,Units Available
In stock,Solar panels,n/a,0.8,Economy,K-Eco phone charger,KE001,Personal,,1.23,1,13.85,4804
In stock,Batteries,n/a,n/a,Economy,K-Eco 12-volt Lithium-ion solar backup battery,KE12Li,Domestic,,2100,1,4500,670
In stock,Lightbulbs,n/a,13,Economy,K-Eco Energy Bulbs 13W,KE13W,"Domestic, Corporate, Personal",,0.75,1,2.24,32478
In stock,Lightbulbs,n/a,13,Economy,K-Eco Energy Bulbs 13W (4-pack),KE13W04,"Domestic, Corporate, Personal",,3,4,6.55,17344
In stock,Lightbulbs,n/a,13,Economy,K-Eco Energy Bulbs 13W  (8-pack),KE13W08,"Domestic, Corporate, Personal",,6,8,11.25,9237
In stock,Solar panels,12.1,180,Economy,K-Eco 180,KE180,Domestic,12.1,162,1,315,1456
On back order,Batteries,n/a,n/a,Economy,K-Eco 18-volt Lithium-ion solar backup battery,KE18Li,Domestic,,2300,1,5200,540
In stock,Solar panels,13.4,200,Economy,K-Eco 200,KE200,Domestic,13.4,180,1,350,2500
In stock,Lightbulbs,n/a,20,Economy,K-Eco Energy Bulbs 20W,KE20W,"Domestic, Corporate, Personal",,1.2,1,2.65,15998
In stock,Lightbulbs,n/a,20,Economy,K-Eco Energy Bulbs 20W (4-pack),KE20W04,"Domestic, Corporate, Personal",,4.9,4,7.45,13444
In stock,Lightbulbs,n/a,20,Economy,K-Eco Energy Bulbs 20W  (8-pack),KE20W08,"Domestic, Corporate, Personal",,9.8,8,12.4,14998
In stock,Solar panels,14.2,225,Economy,K-Eco 225,KE225,Domestic,14.2,198,1,385,2136
In stock,Lightbulbs,n/a,23,Economy,K-Eco Energy Bulbs 23W,KE23W,"Domestic, Corporate, Personal",,1.45,1,3.8,12111
In stock,Lightbulbs,n/a,23,Economy,K-Eco Energy Bulbs 23W (4-pack),KE23W04,"Domestic, Corporate, Personal",,5.8,4,12,6599
In stock,Lightbulbs,n/a,23,Economy,K-Eco Energy Bulbs 23W  (8-pack),KE23W08,"Domestic, Corporate, Personal",,11.6,8,17.5,8990
In stock,Solar panels,16,250,Economy,K-Eco 250,KE250,Domestic,16,225,1,437.5,1201
On back order,Solar panels,10,250,Deluxe,"K-Eco 250x (same power, smaller footprint)",KE250X,Domestic,10,480,1,650,0
In stock,Solar panels,18.3,275,Economy,K-Eco 275,KE275,Domestic,18.3,247.5,1,481.25,855
In stock,Solar panels,20.2,300,Economy,K-Eco 300,KE300,"Domestic, Corporate",20.2,270,1,525,748
In stock,Solar panels,22.2,325,Economy,K-Eco 325,KE325,"Domestic, Corporate",22.2,292.5,1,568.75,1023
On back order,Solar panels,15.05,325,Deluxe,"K-Eco 325x (same power, smaller footprint)",KE325X,"Domestic, Corporate",15.05,380,1,890.5,0
In stock,Batteries,n/a,n/a,Economy,K-Eco 36-volt Lithium-ion solar backup battery,KE36Li,Domestic,,2800,1,7500,320
In stock,Solar panels,25.5,450,Economy,K-Eco 450,KE450,Corporate,25.5,405,1,787.5,408
In stock,Batteries,n/a,n/a,Economy,K-Eco 48-volt Lithium-ion solar backup battery,KE48Li,"Domestic, Corporate",,3500,1,13233,308
In stock,Solar panels,0.075,5,Economy,K-Eco Mini,KE5,Personal,0.075,16.25,1,39.95,3506
In stock,Solar panels,28.7,575,Economy,K-Eco 575,KE575,Corporate,28.7,517.5,1,1006.25,295
In stock,Solar panels,32.3,625,Economy,K-Eco 625,KE625,Corporate,32.3,580,1,1200.23,176
On back order,Solar panels,35.6,700,Economy,K-Eco 700,KE700,Corporate,35.6,620,1,1500,0
In stock,Lightbulbs,n/a,9,Economy,K-Eco Energy Bulbs 9W,KE9W,"Domestic, Corporate, Personal",,0.55,1,2,23056
In stock,Lightbulbs,n/a,9,Economy,K-Eco Energy Bulbs 9W (4-pack),KE9W04,"Domestic, Corporate, Personal",,2.2,4,6.2,19056
In stock,Lightbulbs,n/a,9,Economy,K-Eco Energy Bulbs 9W  (8-pack),KE9W08,"Domestic, Corporate, Personal",,4.4,8,9.5,12346
In stock,Batteries,n/a,n/a,Economy,K-Eco AA  NiMH rechargeable batteries (6-pack),KEAA06,"Domestic, Corporate, Personal",,2.5,1,7.35,4509
In stock,Batteries,n/a,n/a,Economy,K-Eco AA  NiMH rechargeable batteries (12-pack),KEAA12,"Domestic, Corporate, Personal",,5,1,12.5,3678
In stock,Batteries,n/a,n/a,Economy,K-Eco  AAA NiMH rechargeable batteries  (6-pack),KEAAA06,"Domestic, Corporate, Personal",,2.2,1,6.5,5403
In stock,Batteries,n/a,n/a,Economy,K-Eco  AAA NiMH rechargeable batteries (12-pack),KEAAA12,"Domestic, Corporate, Personal",,4.4,1,9.8,3489
In stock,Wind harvester,8.45,100,Economy,K-Eco Blast 100,KEBL100,Personal,8.45,175,1,280,458
In stock,Wind harvester,87.5,1200,Economy,K-Eco Blast 1200,KEBL1200,Corporate,87.5,1050,1,2300,190
In stock,Wind harvester,15.5,200,Economy,K-Eco Blast 200,KEBL200,Domestic,15.5,230,1,550,725
In stock,Wind harvester,23.5,400,Economy,K-Eco Blast 400,KEBL400,Domestic,23.5,455,1,880,680
In stock,Wind harvester,16,400,Deluxe,"K-Eco Blast 400x (same power, smaller footprint)",KEBL400,Domestic,16,650,1,1000.25,248
In stock,Wind harvester,33.4,600,Economy,K-Eco Blast 600,KEBL600,"Domestic, Corporate",33.4,585,1,1025,323
In stock,Wind harvester,42,800,Economy,K-Eco Blast 800,KEBL800,Corporate,42,685,1,1280,280
In stock,Wind harvester,n/a,5,Economy,K-Eco Breeze Mini,KEBR5,Personal,,31.45,1,55,1200
In stock,Landscape lighting,n/a,N/A,Economy,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,KEPATH01,Domestic,,1.22,1,5.25,4688
On back order,Landscape lighting,n/a,N/A,Economy,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),KEPATH04,Domestic,,4.88,4,19.03,0
In stock,Landscape lighting,n/a,N/A,Economy,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack),KEPATH08,Domestic,,9.76,8,33.18,3244
In stock,Landscape lighting,n/a,N/A,Economy,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),KEPATH12,Domestic,,14.64,12,43.92,2855
On back order,Grid Tie Inverters,n/a,13000,Economy,K-Invert 13K,KI13K,Corporate,,20800,1,28600,0
In stock,Grid Tie Inverters,n/a,20000,Economy,K-Invert 20K,KI20K,Corporate,,32000,1,44000,98
In stock,Grid Tie Inverters,n/a,2000,Economy,K-Invert 2K,KI2K,Domestic,,2300,1,3060,225
In stock,Grid Tie Inverters,n/a,4000,Economy,K-Invert 4K,KI4K,Domestic,,4600,1,6120,328
In stock,Grid Tie Inverters,n/a,7000,Economy,K-Invert 7K,KI7K,Domestic,,8050,1,10710,267
On back order,Grid Tie Inverters,n/a,9000,Economy,K-Invert 9K,KI9K,"Domestic, Corporate",,14400,1,19800,0
